"","year","month","week","yday","date","depth","dist","latdd","londd","numPkm2","Lon.km","Lat.km","year_f","scale_depth","scale_dist2shore","rownum"
"1",1998,"June",24,167,1998-06-16,76.8096,12.964,46.09141541,-124.1398621,0,411.883518990497,5104.83597286383,"1998",-0.31897864062772,-0.849137658332551,1
"2",1998,"June",24,167,1998-06-16,54.864,12.964,46.14091492,-124.1618347,0,410.265338115575,5110.36036108511,"1998",-0.504963781727125,-0.849137658332551,2
"3",1998,"June",24,168,1998-06-17,18.288,3.704,46.13366699,-124.0266647,0.336091558,420.694783873862,5109.41126991413,"1998",-0.8149390168928,-1.39069164206703,3
"4",1998,"June",24,168,1998-06-17,40.2336,9.26,46.10924911,-124.0723267,0.634078301,417.131011462401,5106.74482066976,"1998",-0.628953875793395,-1.06575925182634,4
"5",1998,"June",24,168,1998-06-17,85.9536,18.52,46.12075043,-124.1960831,0,407.586443907302,5108.15916634053,"1998",-0.241484831836301,-0.524205268091862,5
"6",1998,"June",24,168,1998-06-17,109.728,27.78,46.12599945,-124.2957458,0,399.895712270444,5108.86308870027,"1998",-0.0400009289786122,0.0173487156426204,6
"7",1998,"June",24,169,1998-06-18,54.864,18.52,46.97266769,-124.3822479,0,394.860917101387,5203.05397512907,"1998",-0.504963781727125,-0.524205268091862,7
"8",1998,"June",24,169,1998-06-18,84.1248,29.632,46.96624756,-124.5379181,0,383.006224795518,5202.56117861397,"1998",-0.256983593594585,0.125659512389517,8
"9",1998,"June",24,169,1998-06-18,109.728,38.892,46.95024872,-124.6611633,0,373.593102580119,5200.97471547689,"1998",-0.0400009289786122,0.667213496123999,9
"10",1998,"June",24,170,1998-06-19,162.7632,48.152,46.98441315,-124.8181686,0,361.734067269586,5205.03629921178,"1998",0.409463162011617,1.20876747985848,10
"11",1998,"June",24,170,1998-06-19,292.608,55.56,46.63175201,-124.7682495,0,364.648164830862,5165.76192259799,"1998",1.50987524684976,1.64201066684607,11
"12",1998,"June",24,170,1998-06-19,111.5568,35.188,46.63600159,-124.4861679,0,386.248899670015,5165.7882254151,"1998",-0.0245021672203284,0.450591902630206,12
"13",1998,"June",24,170,1998-06-19,82.296,25.928,46.62233353,-124.3789978,0,394.425016767184,5164.12033064265,"1998",-0.272482355352869,-0.090962081104276,13
"14",1998,"June",24,170,1998-06-19,54.864,16.668,46.61133194,-124.2601624,0,403.503332337452,5162.74553778883,"1998",-0.504963781727125,-0.632516064838758,14
"15",1998,"June",24,170,1998-06-19,27.432,9.26,46.64216614,-124.1722488,0,410.28620606968,5166.06790604834,"1998",-0.737445208101382,-1.06575925182634,15
"16",1998,"June",24,171,1998-06-20,131.6736,37.04,46.14216614,-124.4519196,0,387.863247886466,5110.86792610231,"1998",0.145984212120793,0.558902699377102,16
"17",1998,"June",24,171,1998-06-20,146.304,46.3,46.1499176,-124.5513306,0,380.202283566005,5111.87430294869,"1998",0.269974306187063,1.10045668311158,17
"18",1998,"June",24,171,1998-06-20,58.5216,12.964,46.14116669,-124.1539154,0,410.877390792456,5110.37942115444,"1998",-0.473966258210558,-0.849137658332551,18
"19",1998,"June",25,172,1998-06-21,54.864,5.556,45.70041656,-124.0242462,0,420.263407606851,5061.27270169242,"1998",-0.504963781727125,-1.28238084532014,19
"20",1998,"June",25,172,1998-06-21,74.9808,12.964,45.68108368,-124.0751648,0,416.270608232816,5059.17679333554,"1998",-0.334477402386004,-0.849137658332551,20
"21",1998,"June",25,172,1998-06-21,113.3856,18.52,45.70833588,-124.1745834,0,408.572746579483,5062.31328873229,"1998",-0.00900340546204466,-0.524205268091862,21
"22",1998,"June",25,172,1998-06-21,148.1328,27.78,45.70608521,-124.3005829,0,398.761168013705,5062.21489682632,"1998",0.285473067945347,0.0173487156426204,22
"23",1998,"June",25,172,1998-06-21,192.024,46.3,45.70500183,-124.5214996,0,381.562563022884,5062.39772171008,"1998",0.657443350144157,1.10045668311158,23
"24",1998,"June",25,172,1998-06-21,62.1792,5.556,45.46075058,-124.0380859,0,418.84140425142,5034.66009195221,"1998",-0.44296873469399,-1.28238084532014,24
"25",1998,"June",25,173,1998-06-22,25.6032,1.852,45.02066803,-124.0384979,0,418.179907544847,4985.77090039758,"1998",-0.752943969859665,-1.49900243881393,25
"26",1998,"June",25,173,1998-06-22,54.864,3.704,45.00541687,-124.0766678,0,415.15009715478,4984.11595537984,"1998",-0.504963781727125,-1.39069164206703,26
"27",1998,"June",25,173,1998-06-22,91.44,9.26,45.01283264,-124.1265869,0,411.227535291774,4984.99325182692,"1998",-0.19498854656145,-1.06575925182634,27
"28",1998,"June",25,173,1998-06-22,151.7904,18.52,45.00125122,-124.2414169,0,402.159476629736,4983.83896537873,"1998",0.316470591461915,-0.524205268091862,28
"29",1998,"June",25,173,1998-06-22,192.024,27.78,44.99750137,-124.3491669,0,393.660372826325,4983.55818340891,"1998",0.657443350144157,0.0173487156426204,29
"30",1998,"June",25,173,1998-06-22,329.184,37.04,45.00941467,-124.4504166,0,385.703692839496,4985.01948648054,"1998",1.81985048201544,0.558902699377102,30
"31",1998,"June",25,174,1998-06-23,56.6928,9.26,44.63041687,-124.1722565,0,407.016134940423,4942.56403664362,"1998",-0.489465019968841,-1.06575925182634,31
"32",1998,"June",25,174,1998-06-23,80.4672,18.52,44.64041901,-124.2884216,0,397.819406948137,4943.81410657309,"1998",-0.287981117111152,-0.524205268091862,32
"33",1998,"June",25,174,1998-06-23,82.296,18.52,44.64266586,-124.2982483,0,397.044055365816,4944.07605130323,"1998",-0.272482355352869,-0.524205268091862,33
"34",1998,"June",25,174,1998-06-23,98.7552,27.78,44.63608551,-124.4055786,0,388.519736120999,4943.4862521049,"1998",-0.132993499528315,0.0173487156426204,34
"35",1998,"June",25,175,1998-06-24,53.0352,5.556,44.21900177,-124.2051697,0,403.732507310052,4896.90349429127,"1998",-0.520462543485409,-1.28238084532014,35
"36",1998,"June",25,175,1998-06-24,43.8912,3.704,44.2448349,-124.1560822,0,407.693964903371,4899.71650082579,"1998",-0.597956352276828,-1.39069164206703,36
"37",1998,"June",25,175,1998-06-24,85.9536,18.52,44.21316528,-124.3315887,0,393.623752369004,4896.41114778072,"1998",-0.241484831836301,-0.524205268091862,37
"38",1998,"June",25,175,1998-06-24,100.584,27.78,44.21683502,-124.4531708,0,383.918110549691,4896.98338588219,"1998",-0.117494737770031,0.0173487156426204,38
"39",1998,"June",25,175,1998-06-24,106.0704,37.04,44.20883179,-124.5619202,0,375.214050786279,4896.25388040723,"1998",-0.0709984524951796,0.558902699377102,39
"40",1998,"June",25,175,1998-06-24,106.0704,46.3,44.22008514,-124.6990814,0,364.281644619042,4897.72132992635,"1998",-0.0709984524951796,1.10045668311158,40
