"","date_ch","Station.Code","latdd","londd","depth_m","numPkm2","date","week","yday","yday2","year","month","btm_depth","depth","Lon.km","Lat.km","year_f","scale_depth","rownum"
"1","6/16/1998","061698CR07A",46.09141541,-124.1398621,76.8096,0,1998-06-16,24,167,27889,1998,6,NA,76.8096,411.883518990497,5104.83597286383,"1998",-0.31896471399618,1
"2","6/16/1998","061698CR07B",46.14091492,-124.1618347,54.864,0,1998-06-16,24,167,27889,1998,6,NA,54.864,410.265338115575,5110.36036108511,"1998",-0.504950671379651,2
"3","6/17/1998","061798CR02",46.13366699,-124.0266647,18.288,0.336091558,1998-06-17,24,168,28224,1998,6,NA,18.288,420.694783873862,5109.41126991413,"1998",-0.81492726701877,3
"4","6/17/1998","061798CR05",46.10924911,-124.0723267,40.2336,0.634078301,1998-06-17,24,168,28224,1998,6,NA,40.2336,417.131011462401,5106.74482066976,"1998",-0.628941309635299,4
"5","6/17/1998","061798CR10",46.12075043,-124.1960831,85.9536,0,1998-06-17,24,168,28224,1998,6,NA,85.9536,407.586443907302,5108.15916634053,"1998",-0.241470565086401,5
"6","6/17/1998","061798CR15",46.12599945,-124.2957458,109.728,0,1998-06-17,24,168,28224,1998,6,NA,109.728,399.895712270444,5108.86308870027,"1998",-0.0399857779209737,6
"7","6/18/1998","061898GH10",46.97266769,-124.3822479,54.864,0,1998-06-18,24,169,28561,1998,6,NA,54.864,394.860917101387,5203.05397512907,"1998",-0.504950671379651,7
"8","6/18/1998","061898GH16",46.96624756,-124.5379181,84.1248,0,1998-06-18,24,169,28561,1998,6,NA,84.1248,383.006224795518,5202.56117861397,"1998",-0.256969394868357,8
"9","6/18/1998","061898GH21",46.95024872,-124.6611633,109.728,0,1998-06-18,24,169,28561,1998,6,NA,109.728,373.593102580119,5200.97471547689,"1998",-0.0399857779209737,9
"10","6/19/1998","061998GH26",46.98441315,-124.8181686,162.7632,0,1998-06-19,24,170,28900,1998,6,NA,162.7632,361.734067269586,5205.03629921178,"1998",0.409480285755748,10
"11","6/19/1998","061998WB30",46.63175201,-124.7682495,292.608,0,1998-06-19,24,170,28900,1998,6,NA,292.608,364.648164830862,5165.76192259799,"1998",1.50989720027462,11
"12","6/19/1998","061998WB19",46.63600159,-124.4861679,111.5568,0,1998-06-19,24,170,28900,1998,6,NA,111.5568,386.248899670015,5165.7882254151,"1998",-0.0244869481390178,12
"13","6/19/1998","061998WB14",46.62233353,-124.3789978,82.296,0,1998-06-19,24,170,28900,1998,6,NA,82.296,394.425016767184,5164.12033064265,"1998",-0.272468224650313,13
